auctionId,auctionSupply,decimals,entityId,entityName,entitySymbol,estimatedEndTimestamp,estimatedStartTimestamp,minBiddingAmount,minPriceInMoxie,subjectAddress,status
34,1.933e+21,18,"403619","maretus.eth","fid:403619","2024-08-02T14:00:43Z","2024-07-30T14:01:03.939442Z",10000000000000000,0,"0xcb69c793478a7355178979ae0be453bf61c378ee","COMPLETED"
35,270000000000000000000,18,"success","/success","cid:success","2024-08-02T14:00:45Z","2024-07-30T14:01:04.033664Z",10000000000000000,0,"0xd04e431836b6b5407ac54f0da37194fe1d4b47f1","COMPLETED"
24,534000000000000000000,18,"510364","x0dura","fid:510364","2024-08-02T14:00:21Z","2024-07-30T14:00:46.421081Z",10000000000000000,0,"0x2a69c074614319af4ddd130b7f8a84f5b995c21f","COMPLETED"
51,4.849e+21,18,"warpcast","/warpcast","cid:warpcast","2024-08-03T14:00:27Z","2024-07-31T14:00:43.038154Z",10000000000000000,0,"0xe39ac97332e97411e6617833f6af5099067fdfc7","COMPLETED"
44,2.0192e+22,18,"66","tayyab","fid:66","2024-08-03T14:00:13Z","2024-07-31T14:00:25.367877Z",10000000000000000,0,"0x794cec5ee2659859050d29d858cf46191649e1fa","COMPLETED"
53,1.3825e+22,18,"358","corbin.eth","fid:358","2024-08-03T14:00:31Z","2024-07-31T14:00:43.177516Z",10000000000000000,0,"0x74427681c620de258aa53a382d6a4c865738a06c","COMPLETED"
48,690000000000000000000,18,"degengame","/degengame","cid:degengame","2024-08-03T14:00:23Z","2024-07-31T14:00:43.135285Z",10000000000000000,0,"0x869ec00fa1dc112917c781942cc01c68521c415e","COMPLETED"
54,998000000000000000000,18,"577","peter","fid:577","2024-08-03T14:00:31Z","2024-07-31T14:00:43.204142Z",10000000000000000,0,"0xeca8afae2a2c3862b68e7f970cbf6a56b55ed7bb","COMPLETED"
43,1.0983e+22,18,"1285","benersing","fid:1285","2024-08-03T14:00:13Z","2024-07-31T14:00:25.314275Z",10000000000000000,0,"0xc4abbd82cb52a7e7e991e030344799acfe013c95","COMPLETED"
49,1.6182e+22,18,"1689","stephancill","fid:1689","2024-08-03T14:00:25Z","2024-07-31T14:00:43.03462Z",10000000000000000,0,"0x2a6c7bb649234ee2656550e163c8aaaed7318dcb","COMPLETED"
46,1.3219e+22,18,"1970","grin","fid:1970","2024-08-03T14:00:17Z","2024-07-31T14:00:43.196962Z",10000000000000000,0,"0x3dedb545e9b89f63fa71ab75497735d802c9d26f","COMPLETED"
41,1.244e+21,18,"2211","commstark","fid:2211","2024-08-03T14:00:11Z","2024-07-31T14:00:25.324486Z",10000000000000000,0,"0x0de290f9717764641b9694c246338a477cff9543","COMPLETED"
55,550000000000000000000,18,"2282","gokhan.eth","fid:2282","2024-08-03T14:00:33Z","2024-07-31T14:00:43.206038Z",10000000000000000,0,"0xc32f2122a76ce07bddc785e44978859b713da6ef","COMPLETED"
58,4.285e+21,18,"lp","/lp","cid:lp","2024-08-03T14:00:37Z","2024-07-31T14:01:00.788345Z",10000000000000000,0,"0xda8c2a87afe4a1855cc48ddd7d411b8317048df0","COMPLETED"
45,1.123e+21,18,"7258","riotgoools","fid:7258","2024-08-03T14:00:15Z","2024-07-31T14:00:28.571414Z",10000000000000000,0,"0xe12e2bdfb39eecc25270ed301a1d66bfd60b7969","COMPLETED"
